支付宝交易记录明细查询
账号:[13636476127]
起始日期:[2021-08-24 00:00:00]    终止日期:[2021-11-24 13:09:08]
---------------------------------交易记录明细列表------------------------------------
交易号                  ,商家订单号               ,交易创建时间              ,付款时间                ,最近修改时间              ,交易来源地     ,类型              ,交易对方            ,商品名称                ,金额（元）   ,收/支     ,交易状态    ,服务费（元）   ,成功退款（元）  ,备注                  ,资金状态     ,
2021112404200113001089734112	,2021112422001484131432865885	,2021-11-24 08:18:08 ,2021-11-24 08:18:11 ,2021-11-24 08:18:11 ,支付宝网站     ,即时到账交易          ,Jackfrank       ,亲情卡                 ,10.50   ,支出      ,亲情卡付款成功 ,0.00     ,0.00     ,                    ,已支出      ,
2021112404200113001089744108	,2021112422001484131432396687	,2021-11-24 08:13:35 ,2021-11-24 08:13:38 ,2021-11-24 08:13:38 ,支付宝网站     ,即时到账交易          ,Jackfrank       ,亲情卡                 ,3.00    ,支出      ,亲情卡付款成功 ,0.00     ,0.00     ,                    ,已支出      ,
2021112404200113001089728680	,2021112422001484131432858592	,2021-11-24 08:12:26 ,2021-11-24 08:12:30 ,2021-11-24 08:12:30 ,支付宝网站     ,即时到账交易          ,Jackfrank       ,亲情卡                 ,5.20    ,支出      ,亲情卡付款成功 ,0.00     ,0.00     ,                    ,已支出      ,
2021112404200113001089742144	,2021112422001484131432631191	,2021-11-24 08:11:40 ,2021-11-24 08:11:44 ,2021-11-24 08:11:44 ,支付宝网站     ,即时到账交易          ,Jackfrank       ,亲情卡                 ,12.00   ,支出      ,亲情卡付款成功 ,0.00     ,0.00     ,                    ,已支出      ,
2021112404200113001089743567	,2021112422001484131432846268	,2021-11-24 08:08:47 ,2021-11-24 08:08:50 ,2021-11-24 08:08:50 ,支付宝网站     ,即时到账交易          ,Jackfrank       ,亲情卡                 ,9.00    ,支出      ,亲情卡付款成功 ,0.00     ,0.00     ,                    ,已支出      ,
2021112404200113001089741038	,2021112422001484135701064528	,2021-11-24 08:07:15 ,2021-11-24 08:07:17 ,2021-11-24 08:07:17 ,支付宝网站     ,即时到账交易          ,Jackfrank       ,亲情卡                 ,14.00   ,支出      ,亲情卡付款成功 ,0.00     ,0.00     ,                    ,已支出      ,
2021112404200113001089725760	,2021112422001484131432392838	,2021-11-24 08:04:20 ,2021-11-24 08:04:23 ,2021-11-24 08:04:23 ,支付宝网站     ,即时到账交易          ,Jackfrank       ,亲情卡                 ,13.80   ,支出      ,亲情卡付款成功 ,0.00     ,0.00     ,                    ,已支出      ,
2021112404200113001089744239	,2021112422001484131432640086	,2021-11-24 08:02:09 ,2021-11-24 08:02:13 ,2021-11-24 08:02:13 ,支付宝网站     ,即时到账交易          ,Jackfrank       ,亲情卡                 ,13.00   ,支出      ,亲情卡付款成功 ,0.00     ,0.00     ,                    ,已支出      ,
2021112404200113001089733518	,2021112422001484131432858589	,2021-11-24 07:56:52 ,2021-11-24 07:56:55 ,2021-11-24 07:56:55 ,支付宝网站     ,即时到账交易          ,Jackfrank       ,亲情卡                 ,4.70    ,支出      ,亲情卡付款成功 ,0.00     ,0.00     ,                    ,已支出      ,
2021112404200113001089728810	,2021112422001484131432635623	,2021-11-24 07:53:26 ,2021-11-24 07:53:29 ,2021-11-24 07:53:29 ,支付宝网站     ,即时到账交易          ,Jackfrank       ,亲情卡                 ,15.00   ,支出      ,亲情卡付款成功 ,0.00     ,0.00     ,                    ,已支出      ,
2021112404200113001089741723	,2021112422001484131432858587	,2021-11-24 07:47:59 ,2021-11-24 07:48:03 ,2021-11-24 07:48:03 ,支付宝网站     ,即时到账交易          ,Jackfrank       ,亲情卡                 ,11.00   ,支出      ,亲情卡付款成功 ,0.00     ,0.00     ,                    ,已支出      ,
2021112404200113001089740620	,2021112422001484131432401498	,2021-11-24 07:46:13 ,2021-11-24 07:46:16 ,2021-11-24 07:46:16 ,支付宝网站     ,即时到账交易          ,Jackfrank       ,亲情卡                 ,43.00   ,支出      ,亲情卡付款成功 ,0.00     ,0.00     ,                    ,已支出      ,
2021112404200113001089739396	,2021112422001484131432868745	,2021-11-24 07:43:53 ,2021-11-24 07:43:56 ,2021-11-24 07:43:56 ,支付宝网站     ,即时到账交易          ,Jackfrank       ,亲情卡                 ,58.00   ,支出      ,亲情卡付款成功 ,0.00     ,0.00     ,                    ,已支出      ,
2021112404200113001089731926	,2021112422001484135701503724	,2021-11-24 07:38:42 ,2021-11-24 07:38:43 ,2021-11-24 07:38:43 ,支付宝网站     ,即时到账交易          ,Jackfrank       ,亲情卡                 ,150.00  ,支出      ,亲情卡付款成功 ,0.00     ,0.00     ,                    ,已支出      ,
20211124301960964781 	,                    	,2021-11-24 02:44:19 ,                    ,2021-11-24 02:44:19 ,支付宝网站     ,即时到账交易          ,国泰基金管理有限公司      ,余额宝-2021.11.23-收益发放 ,8.88    ,其他      ,交易成功    ,0.00     ,0.00     ,                    ,已收入      ,
2021112304200113001089708042	,2021112322001484131432021417	,2021-11-23 19:44:48 ,2021-11-23 19:44:51 ,2021-11-23 19:44:51 ,支付宝网站     ,即时到账交易          ,Jackfrank       ,亲情卡                 ,3.00    ,支出      ,亲情卡付款成功 ,0.00     ,0.00     ,                    ,已支出      ,
2021112322001455785744100119	,5712660000482200017895204654825000	,2021-11-23 19:23:32 ,2021-11-23 19:23:33 ,2021-11-23 19:23:33 ,其他（包括阿里巴巴和外部商家）,即时到账交易          ,胖子饿了长沙市府24品商场店  ,胖子饿了24品生活中心店 收钱吧微信  ,9.00    ,支出      ,交易成功    ,0.00     ,0.00     ,                    ,已支出      ,
2021112322001155785743934257	,T200P2273669100027509565	,2021-11-23 15:01:57 ,2021-11-23 15:02:03 ,2021-11-23 16:51:49 ,淘宝        ,支付宝担保交易         ,神牛影智专卖店         ,背景架横杆伸缩杆 3米背景支架背景布纸可调节横臂悬架摄影棚附件,68.00   ,支出      ,等待确认收货  ,0.00     ,0.00     ,                    ,已支出      ,
2021112322001155785743931766	,T200P2275255370865509565	,2021-11-23 15:01:19 ,2021-11-23 15:01:29 ,2021-11-23 17:26:21 ,淘宝        ,支付宝担保交易         ,劲游旗舰店           ,单色背景纸纯色背景布影楼淘宝网店拍照摄影拍摄拍图背景白色黑色,99.00   ,支出      ,等待确认收货  ,0.00     ,0.00     ,                    ,已支出      ,
20211123389750006781 	,                    	,2021-11-23 02:47:34 ,                    ,2021-11-23 02:47:34 ,支付宝网站     ,即时到账交易          ,国泰基金管理有限公司      ,余额宝-2021.11.22-收益发放 ,7.45    ,其他      ,交易成功    ,0.00     ,0.00     ,                    ,已收入      ,
2021112222001455785743282748	,0412660000482200017895052615453336	,2021-11-22 19:31:40 ,2021-11-22 19:31:41 ,2021-11-22 19:31:41 ,其他（包括阿里巴巴和外部商家）,即时到账交易          ,胖子饿了长沙市府24品商场店  ,胖子饿了24品生活中心店 收钱吧微信  ,9.00    ,支出      ,交易成功    ,0.00     ,0.00     ,                    ,已支出      ,
2021112222001455785743257460	,82738210027454586230	,2021-11-22 19:28:07 ,2021-11-22 19:28:08 ,2021-11-22 19:28:08 ,其他（包括阿里巴巴和外部商家）,即时到账交易          ,沃尔玛购物广场长沙观沙路店   ,超市商品                ,78.20   ,支出      ,交易成功    ,0.00     ,0.00     ,                    ,已支出      ,
2021112222001455785743305688	,11P2088721085226061W03_211122017893471232-49085596	,2021-11-22 18:57:40 ,2021-11-22 18:57:41 ,2021-11-22 18:57:41 ,其他（包括阿里巴巴和外部商家）,即时到账交易          ,长沙市远觉饮品有限公司     ,二维码支付               ,13.00   ,支出      ,交易成功    ,0.00     ,0.00     ,                    ,已支出      ,
20211122381209967781 	,                    	,2021-11-22 03:17:18 ,                    ,2021-11-22 03:17:18 ,支付宝网站     ,即时到账交易          ,国泰基金管理有限公司      ,余额宝-2021.11.21-收益发放 ,7.14    ,其他      ,交易成功    ,0.00     ,0.00     ,                    ,已收入      ,
20211121009130101000780072849869	,20211121009130501000780070783363	,2021-11-21 08:42:58 ,2021-11-21 08:42:58 ,2021-11-21 08:42:58 ,支付宝网站     ,即时到账交易          ,国泰基金管理有限公司      ,余额宝-自动转入            ,15.00   ,其他      ,交易成功    ,0.00     ,0.00     ,                    ,资金转移     ,
20211121370552547781 	,                    	,2021-11-21 03:09:25 ,                    ,2021-11-21 03:09:25 ,支付宝网站     ,即时到账交易          ,国泰基金管理有限公司      ,余额宝-2021.11.20-收益发放 ,7.14    ,其他      ,交易成功    ,0.00     ,0.00     ,                    ,已收入      ,
20211120828352352905 	,SHOP_1637387431995ab92d1ec1018365c6075f3da072acaa1002088602255_s	,2021-11-20 13:50:35 ,2021-11-20 13:50:36 ,2021-11-20 13:50:35 ,其他（包括阿里巴巴和外部商家）,即时到账交易          ,                ,淘宝现金红包提现            ,15.00   ,收入      ,交易成功    ,0.00     ,0.00     ,                    ,已收入      ,
2021112004200113001089403394	,2021112022001484135758035247	,2021-11-20 09:51:50 ,2021-11-20 09:51:54 ,2021-11-20 09:51:54 ,支付宝网站     ,即时到账交易          ,Jackfrank       ,亲情卡                 ,2.00    ,支出      ,亲情卡付款成功 ,0.00     ,0.00     ,                    ,已支出      ,
