支付宝交易记录明细查询
账号:[79071077@qq.com]
起始日期:[2021-10-26 00:00:00]    终止日期:[2021-11-01 22:06:37]
---------------------------------交易记录明细列表------------------------------------
交易号                  ,商家订单号               ,交易创建时间              ,付款时间                ,最近修改时间              ,交易来源地     ,类型              ,交易对方            ,商品名称                ,金额（元）   ,收/支     ,交易状态    ,服务费（元）   ,成功退款（元）  ,备注                  ,资金状态     ,
2021103122001184135728406598	,T100P2217534951839969736	,2021-10-31 14:05:37 ,2021-10-31 14:05:44 ,2021-10-31 14:05:45 ,淘宝        ,支付宝担保交易         ,中国移动官方旗舰店       ,手机充值                ,99.88   ,支出      ,交易成功    ,0.00     ,0.00     ,                    ,已支出      ,
2021103022001484135726901165	,84126600004837000020211030130000040000004080014669	,2021-10-30 14:04:07 ,2021-10-30 14:04:08 ,2021-10-30 14:04:08 ,其他（包括阿里巴巴和外部商家）,即时到账交易          ,长沙市岳麓区唛咭食品店     ,智能硬件B-C商品           ,16.60   ,支出      ,交易成功    ,0.00     ,0.00     ,                    ,已支出      ,
2021103022001184135726827989	,T200P2214783145855969736	,2021-10-30 13:04:19 ,2021-10-30 13:04:51 ,2021-10-30 13:24:08 ,淘宝        ,支付宝担保交易         ,yyyyyyyyr2013   ,竹锅刷竹刷子老式环保天然竹丝炊帚筅帚刷锅厨房大饭店用加长大号,8.25    ,支出      ,等待确认收货  ,0.00     ,0.00     ,                    ,已支出      ,
2021103022001184135726155647	,T200P2214960878574969736	,2021-10-30 12:01:45 ,2021-10-30 12:03:04 ,2021-10-30 13:29:46 ,淘宝        ,支付宝担保交易         ,蒂莎婚纱旗舰店         ,打印资料书本彩色复印服务黑白快印a4文件印刷书籍装订网上打印店,26.80   ,支出      ,等待确认收货  ,0.00     ,0.00     ,                    ,已支出      ,
2021103022001484135726105562	,46355577737402594284130	,2021-10-30 09:36:15 ,2021-10-30 09:36:24 ,2021-10-30 09:36:24 ,其他（包括阿里巴巴和外部商家）,即时到账交易          ,王姐粉面店           ,收钱码收款               ,11.88   ,支出      ,交易成功    ,0.00     ,0.00     ,                    ,已支出      ,
2021103022001484135725864328	,16355576030402594284130	,2021-10-30 09:33:24 ,2021-10-30 09:33:31 ,2021-10-30 09:33:31 ,其他（包括阿里巴巴和外部商家）,即时到账交易          ,酥食味老面饼          ,收钱码收款               ,3.00    ,        ,交易成功    ,0.00     ,0.00     ,                    ,         ,
2021103022001484135725008308	,16355572368402594284130	,2021-10-30 09:27:18 ,2021-10-30 09:27:25 ,2021-10-30 09:27:25 ,其他（包括阿里巴巴和外部商家）,即时到账交易          ,纯香手工豆腐坊         ,收钱码收款               ,6.50    ,        ,交易成功    ,0.00     ,0.00     ,                    ,         ,
2021103022001484135724655074	,46355568923402594284130	,2021-10-30 09:21:33 ,2021-10-30 09:21:39 ,2021-10-30 09:21:39 ,其他（包括阿里巴巴和外部商家）,即时到账交易          ,*小平             ,收钱码收款               ,4.70    ,        ,交易成功    ,0.00     ,0.00     ,                    ,         ,
2021103022001484135726162736	,3312660000489000009000272295021303	,2021-10-30 09:18:00 ,2021-10-30 09:18:09 ,2021-10-30 09:18:09 ,其他（包括阿里巴巴和外部商家）,即时到账交易          ,生鲜蔬菜批发观沙岭路店     ,生鲜蔬菜批发观沙岭路店         ,2.80    ,        ,交易成功    ,0.00     ,0.00     ,                    ,         ,
2021103022001484135726105539	,16355565491402594284130	,2021-10-30 09:15:51 ,2021-10-30 09:15:56 ,2021-10-30 09:15:56 ,其他（包括阿里巴巴和外部商家）,即时到账交易          ,蔬菜摊             ,收钱码收款               ,12.50   ,        ,交易成功    ,0.00     ,0.00     ,                    ,         ,
2021103022001484135725796747	,16355563709402594284130	,2021-10-30 09:12:52 ,2021-10-30 09:12:57 ,2021-10-30 09:12:57 ,其他（包括阿里巴巴和外部商家）,即时到账交易          ,蔬菜摊             ,收钱码收款               ,2.00    ,        ,交易成功    ,0.00     ,0.00     ,                    ,         ,
